budget,popularity,release_date,revenue,runtime,title,vote_average
15000000,6.387469,1996-01-12,0.0,88.0,Bio-Dome,4.4
3500000,14.56965,1995-04-26,28215918.0,91.0,Friday,7.0
19000000,15.339153,1996-01-19,25836616.0,108.0,From Dusk Till Dawn,6.9
50000000,5.912223,1995-11-03,11534477.0,91.0,Fair Game,4.1
15000000,2.936443,1996-01-26,2042530.0,90.0,Big Bully,3.9
20000000,12.758848,1995-09-08,5781885.0,108.0,Screamers,6.1
44000000,6.010579,1996-02-02,0.0,118.0,The Juror,5.5
8000000,4.486179,1995-12-01,529766.0,116.0,Things to Do in Denver When You're Dead,6.7
900000,2.030174,1995-09-12,0.0,102.0,Antonia's Line,7.2
38000000,9.568604,1996-02-02,10300000.0,129.0,White Squall,6.3
16000000,4.814825,1996-01-12,0.0,88.0,Dunston Checks In,5.1
8169363,6.848591,1995-11-22,8175346.0,90.0,Nick of Time,6.1
47000000,12.866139,1996-02-23,12379402.0,104.0,Mary Reilly,5.7
14000000,9.071127,1995-10-26,19800000.0,100.0,Vampire in Brooklyn,4.5
50000000,14.957626,1996-02-09,150270147.0,108.0,Broken Arrow,5.7
3000000,12.108196,1995-05-31,0.0,98.0,La Haine,7.9
7000000,6.904831,1996-02-21,560069.0,91.0,Bottle Rocket,6.8
18000000,2.464425,1996-02-23,0.0,106.0,Unforgettable,5.3
12000000,9.592265,1996-02-16,41205099.0,92.0,Happy Gilmore,6.5
24000000,5.951077,1995-05-28,182016617.0,135.0,The Bridges of Madison County,7.3
72000000,20.755149,1995-05-24,210000000.0,177.0,Braveheart,7.7
1300000,14.092713,1976-02-07,28262574.0,114.0,Taxi Driver,8.1
7500000,12.314278,1995-01-30,32392047.0,91.0,Rumble in the Bronx,6.5
35000000,2.938293,1996-02-23,0.0,108.0,Before and After,5.8
13365000,1.254885,1995-01-31,0.0,106.0,Happiness Is in the Field,7.0
25000000,1.522412,1995-09-29,6278139.0,113.0,Steal Big Steal Little,5.1
40000000,6.506983,1992-06-30,70100000.0,117.0,Boomerang,5.4
7000000,5.579088,1996-03-22,14702438.0,92.0,Flirting with Disaster,6.3
17000000,6.252377,1994-10-26,0.0,95.0,The Neverending Story III: Escape from Fantasia,4.4
50000000,11.418917,1995-10-13,9851610.0,95.0,Jade,5.1
60000000,3.402749,1996-03-01,0.0,119.0,Up Close & Personal,5.9
31000000,6.49968,1996-03-08,185260553.0,117.0,The Birdcage,6.7
19000000,9.262184,1995-04-07,141407024.0,118.0,Bad Boys,6.5
4000000,0.922958,1995-07-21,851545.0,113.0,An Awfully Big Adventure,6.0
52000000,18.761467,1995-06-30,355237933.0,140.0,Apollo 13,7.3
28000000,10.193549,1995-04-13,31596911.0,139.0,Rob Roy,6.5
100000000,13.321354,1995-06-16,336529144.0,121.0,Batman Forever,5.2
2000000,11.528147,1995-09-15,1275000.0,83.0,Blue in the Face,6.8
11000000,5.391556,1995-06-08,178104.0,91.0,Canadian Bacon,5.9
50000000,12.812539,1995-05-26,287928194.0,100.0,Casper,6.0
25000000,4.558992,1995-09-15,13071518.0,128.0,Clockers,6.8
50000000,7.260574,1995-06-09,152022101.0,109.0,Congo,5.0
53000000,8.657365,1995-05-12,157387195.0,116.0,Crimson Tide,7.0
7000000,6.950458,1995-08-25,25405445.0,104.0,Desperado,6.8
27000000,4.646132,1995-09-15,16140822.0,102.0,Devil in a Blue Dress,6.3
90000000,15.138855,1995-05-19,366101666.0,128.0,Die Hard: With a Vengeance,6.9
55000000,15.178338,1995-07-07,127600435.0,134.0,First Knight,5.9
20000000,14.810519,1995-09-14,7563728.0,107.0,Hackers,6.2
25000000,11.715868,1995-05-26,19075720.0,97.0,Johnny Mnemonic,5.5
90000000,8.184815,1995-06-30,113493481.0,96.0,Judge Dredd,5.4
1500000,4.877872,1995-07-28,7412216.0,91.0,Kids,6.8
500000,10.058329,1995-01-20,1148752.0,89.0,Living in Oblivion,7.2
6000000,8.25547,1995-10-20,2122561.0,94.0,Mallrats,6.8
15000000,7.024227,1995-06-30,66000000.0,92.0,Mighty Morphin Power Rangers: The Movie,5.2
2,2.466066,1995-09-28,1.0,95.0,Mute Witness,6.4
22000000,13.304342,1995-07-28,110627965.0,114.0,The Net,5.6
150000,1.165039,1995-06-09,472370.0,94.0,Party Girl,5.8
8,10.187623,1995-09-01,16.0,98.0,The Prophecy,6.4
50000000,6.752119,1995-10-13,10382407.0,135.0,The Scarlet Letter,5.5
45000000,17.502375,1995-09-22,20350754.0,128.0,Showgirls,4.9
7000000,5.552946,1995-06-09,8349430.0,112.0,Smoke,7.2
35000000,13.492845,1995-07-07,113374103.0,108.0,Species,5.5
42000000,11.223055,1995-10-13,7959291.0,145.0,Strange Days,6.8
14000000,1.820419,1995-09-08,5780000.0,99.0,The Tie That Binds,4.6
60000000,7.490247,1995-07-13,104324083.0,100.0,Under Siege 2: Dark Territory,5.6
20000000,9.715639,1995-08-11,50012507.0,103.0,A Walk in the Clouds,6.5
175000000,16.885184,1995-07-28,264218220.0,135.0,Waterworld,5.9
8000000,1.834099,1995-12-01,0.0,89.0,White Man's Burden,5.1
30000000,8.922139,1995-12-01,0.0,98.0,Wild Bill,5.9
2800000,2.486073,1994-05-01,2616503.0,135.0,Burnt by the Sun,6.7
2500000,11.304979,1995-01-27,5535405.0,105.0,Before Sunrise,7.7
10000000,6.638116,1995-02-10,26488734.0,89.0,Billy Madison,6.2
21000000,3.030309,1995-02-03,23450000.0,115.0,Boys on the Side,6.3
27000,10.513367,1994-09-13,3151130.0,92.0,Clerks,7.4
25000000,7.438934,1994-10-01,22200000.0,97.0,Don Juan DeMarco,6.3
55000000,11.812244,1994-12-09,214015089.0,123.0,Disclosure,5.9
45000000,9.579155,1994-12-08,0.0,101.0,Drop Zone,5.1
16000000,9.844558,1994-12-16,247275374.0,107.0,Dumb and Dumber,6.5
18000000,11.720358,1994-09-27,5887457.0,127.0,Ed Wood,7.3
15000000,8.182165,1995-03-03,12201255.0,103.0,Hideaway,5.0
700000,9.47666,1994-09-12,7830611.0,171.0,Hoop Dreams,7.7
5000000,9.438042,1994-09-02,3049135.0,99.0,Heavenly Creatures,6.9
10500000,2.688562,1995-01-06,26325256.0,113.0,Houseguest,6.0
120,7.983666,1994-12-16,0.0,121.0,Immortal Beloved,6.9
25000000,5.146352,1994-12-24,0.0,100.0,I.Q.,5.9
60000000,11.970205,1994-11-11,223664608.0,123.0,Interview with the Vampire,7.2
14000000,1.596058,1995-03-31,2474000.0,139.0,Jefferson in Paris,5.2
60000000,6.710215,1994-11-22,37000000.0,109.0,Junior,4.7
40000000,7.797512,1995-04-21,0.0,101.0,Kiss of Death,5.7
11000000,42.149697,1977-05-25,775398007.0,121.0,Star Wars,8.1
18000000,9.774994,1994-12-21,0.0,115.0,Little Women,7.0
17000000,7.731725,1995-05-10,0.0,97.0,A Little Princess,7.4
10000000,1.948315,1994-02-16,0.0,100.0,L'Enfer,6.6
2000000,4.126083,1992-04-16,21665468.0,105.0,Like Water for Chocolate,6.6
30000000,12.199047,1994-12-16,160638883.0,133.0,Legends of the Fall,7.2
60000000,3.290192,1994-10-21,0.0,108.0,Love Affair,4.3
17000000,7.698526,1995-03-17,7603766.0,106.0,Losing Isaiah,6.4
45000000,14.287753,1994-11-04,112006296.0,123.0,Mary Shelley's Frankenstein,6.1
15000000,2.899608,1994-12-21,0.0,97.0,Mixed Nuts,5.2
6,1.137266,1995-01-27,5.0,95.0,Miami Rhapsody,5.6
5500000,3.121288,1995-05-03,0.0,128.0,My Family,7.0
31000000,5.930957,1994-12-23,106683817.0,112.0,Nell,6.1
4800000,0.426952,1994-04-22,0.0,89.0,Beyond Bedlam,4.0
34000000,11.226856,1994-08-25,50282766.0,119.0,Natural Born Killers,6.9
50000000,13.676444,1995-03-10,189859560.0,127.0,Outbreak,6.4
16000000,20.477329,1994-09-14,45284974.0,110.0,Leon: The Professional,8.2
11000000,1.433544,1995-05-12,2832826.0,113.0,The Perez Family,6.6
8000000,140.950236,1994-09-10,213928762.0,154.0,Pulp Fiction,8.3
400000,1.638622,1992-02-01,152322.0,105.0,Pushing Hands,6.1
32000000,7.54701,1995-02-09,18552460.0,107.0,The Quick and the Dead,6.2
22000000,3.395867,1995-03-01,12400000.0,108.0,Roommates,6.4
15000000,6.259433,1994-12-23,11300653.0,133.0,Prêt-à-Porter,5.3
35000000,8.910462,1994-11-18,9771658.0,89.0,The Swan Princess,6.5
45000000,10.388183,1994-10-07,170362582.0,110.0,The Specialist,5.5
55000000,13.328924,1994-10-27,196567262.0,121.0,Stargate,6.8
22000000,9.665424,1994-11-10,189833357.0,97.0,The Santa Clause,6.3
25000000,51.645403,1994-09-23,28341469.0,142.0,The Shawshank Redemption,8.5
32,1.407427,1994-07-12,0.0,100.0,The Sum of Us,6.0
25000000,7.602087,1995-03-31,4064495.0,98.0,Tank Girl,5.5
38000000,8.105708,1994-11-17,120000000.0,118.0,Star Trek: Generations,6.4
6000000,2.86007,1995-05-24,12000000.0,98.0,Tales from the Hood,5.4
6500000,2.059771,1995-04-28,0.0,99.0,The Underneath,5.6
11000000,10.3919,1993-12-17,10032765.0,118.0,What's Eating Gilbert Grape,7.5
30000000,5.188399,1995-08-04,24048000.0,106.0,Virtuosity,5.4
17000000,15.783615,1995-04-21,182057016.0,103.0,While You Were Sleeping,6.5
3000000,5.254847,1994-09-29,15119639.0,106.0,Muriel's Wedding,6.9
15000000,11.247957,1994-02-04,107217396.0,86.0,Ace Ventura: Pet Detective,6.4
5000000,11.298195,1992-09-02,1862805.0,139.0,Bitter Moon,7.0
62000000,7.513245,1994-08-03,215887717.0,141.0,Clear and Present Danger,6.4
45000000,15.263829,1994-07-20,117615211.0,119.0,The Client,6.4
15000000,15.799336,1994-05-11,94000000.0,102.0,The Crow,7.3
46000000,15.019586,1994-05-26,341631208.0,91.0,The Flintstones,5.0
55000000,48.307194,1994-07-06,677945399.0,142.0,Forrest Gump,8.2
6000000,8.990345,1994-03-09,254700832.0,117.0,Four Weddings and a Funeral,6.6
45000000,3.570874,1994-06-29,61947267.0,123.0,I Love Trouble,5.3
45000000,21.605761,1994-06-23,788241776.0,89.0,The Lion King,8.0
35000000,5.681522,1993-12-01,4858139.0,140.0,Little Buddha,6.0
14000000,9.860522,1994-10-13,18090181.0,112.0,New Nightmare,6.4
23000000,14.13488,1994-07-29,351583407.0,101.0,The Mask,6.6
30000000,10.587232,1994-03-18,51132598.0,83.0,The Naked Gun 33⅓: The Final Insult,6.4
6000000,4.006063,1994-03-18,0.0,112.0,The Paper,6.1
11500000,6.514592,1994-02-18,20079850.0,99.0,Reality Bites,6.5
8000000,5.137903,1993-07-08,2000000.0,98.0,Red Rock West,6.4
40000000,6.595255,1994-12-19,0.0,95.0,Ri¢hie Ri¢h,5.4
45000000,10.511241,1994-09-30,0.0,111.0,The River Wild,6.1
30000000,10.859292,1994-06-09,350448145.0,116.0,Speed,6.8
27000000,8.907074,1994-09-15,101646581.0,99.0,Timecop,5.5
115000000,11.396099,1994-07-14,378882411.0,141.0,True Lies,6.8
63000000,9.277147,1994-06-24,25052000.0,191.0,Wyatt Earp,6.5
10000000,3.021526,1994-11-23,29392418.0,100.0,A Low Down Dirty Shame,6.0
45000,4.220541,1965-08-06,0.0,83.0,"Faster, Pussycat! Kill! Kill!",6.5
7000000,0.912909,1994-09-28,20851521.0,119.0,Jason's Lyric,5.9
35000000,13.58449,1994-12-22,99423521.0,102.0,Street Fighter,4.1
26000000,6.866634,1994-11-29,36800000.0,99.0,Highlander: The Final Dimension,4.5
8000000,8.497643,1994-12-12,8946600.0,95.0,In the Mouth of Madness,7.1
34000000,8.013617,1993-09-17,32255440.0,139.0,The Age of Innocence,7.0
17080000,1.896273,1994-01-07,21011500.0,107.0,The Air Up There,5.1
3200000,1.632711,1994-07-29,0.0,100.0,Barcelona,6.6
40000000,2.783872,1994-05-06,0.0,122.0,Being Human,5.0
50000000,11.787784,1994-05-24,119208989.0,104.0,Beverly Hills Cop III,5.5
13000000,6.559693,1993-06-09,428868.0,87.0,Body Snatchers,5.8
22000000,6.115628,1993-09-14,17287898.0,121.0,A Bronx Tale,7.4
13000000,1.316741,1993-09-03,2570145.0,90.0,Calendar Girl,3.7
30000000,8.698509,1993-11-10,36516012.0,144.0,Carlito's Way,7.7
70000000,9.830853,1993-05-28,255000211.0,112.0,Cliffhanger,6.1
40000000,14.228963,1994-08-19,19726050.0,121.0,Color of Night,5.4
6900000,6.8652,1993-09-24,7993039.0,102.0,Dazed and Confused,7.4
57000000,11.626116,1993-10-08,159055768.0,115.0,Demolition Man,6.4
8000000,2.970724,1994-05-13,0.0,96.0,Even Cowgirls Get the Blues,4.2
30000000,8.468869,1993-10-01,11146270.0,94.0,For Love or Money,5.7
42000000,9.678367,1993-06-30,270248367.0,154.0,The Firm,6.6
20000000,5.990572,1993-07-16,153698625.0,112.0,Free Willy,6.0
44000000,10.08937,1993-08-06,368875760.0,130.0,The Fugitive,7.2
35000000,4.653462,1993-12-10,18635620.0,115.0,Geronimo: An American Legend,5.9
30000000,2.410545,1994-06-17,0.0,109.0,Getting Even with Dad,4.5
18000000,7.834351,1993-08-20,74189677.0,97.0,Hard Target,6.1
33000000,4.190541,1993-12-24,0.0,140.0,Heaven & Earth,6.4
25000000,13.482371,1993-05-21,133752825.0,86.0,Hot Shots! Part Deux,6.2
25000000,10.687795,1993-10-19,0.0,140.0,The House of the Spirits,6.7
30000000,7.550545,1994-03-11,0.0,111.0,The Hudsucker Proxy,7.1
40000000,1.742974,1994-02-04,0.0,115.0,I'll Do Anything,5.7
40000000,12.637158,1993-07-08,176997168.0,128.0,In the Line of Fire,6.8
13000000,7.405895,1993-12-12,65796862.0,133.0,In the Name of the Father,7.6
30000000,4.563989,1994-03-30,0.0,112.0,Jimmy Hollywood,4.6
63000000,8.863776,1993-06-11,920100000.0,127.0,Jurassic Park,7.6
9000000,8.4337,1993-09-01,2395231.0,117.0,Kalifornia,6.5
1500000,4.948569,1993-10-01,418961.0,96.0,Killing Zoe,6.1
85000000,9.434006,1993-06-18,137298489.0,130.0,Last Action Hero,6.1
22000000,5.43085,1993-05-27,0.0,111.0,Made in America,5.3
13500000,8.939404,1993-08-18,11285588.0,104.0,Manhattan Murder Mystery,7.1
3500000,5.260924,1993-05-26,27900000.0,97.0,Menace II Society,7.2
55000000,13.106291,1996-03-15,121969216.0,133.0,Executive Decision,5.8
8000000,8.62724,1993-05-07,0.0,111.0,Much Ado About Nothing,7.2
25000000,11.16553,1993-11-24,441286195.0,125.0,Mrs. Doubtfire,7.0
12000000,9.9697,1994-07-18,15826984.0,107.0,The Next Karate Kid,4.8
20000000,9.715187,1994-04-29,15340000.0,118.0,No Escape,6.1
40000000,15.534707,1994-07-22,0.0,87.0,North,4.8
4000000,3.800785,1992-09-01,0.0,93.0,Orlando,6.7
30000000,8.040589,1993-11-24,135130999.0,138.0,A Perfect World,7.2
26000000,13.373006,1993-12-22,206678440.0,125.0,Philadelphia,7.6
7000000,7.436758,1993-05-19,116700000.0,121.0,The Piano,7.1
14000000,6.972599,1993-07-23,27515786.0,109.0,Poetic Justice,6.9
11000000,5.868677,1994-03-09,11439193.0,97.0,The Ref,6.7
11500000,12.222576,1993-11-05,23237911.0,134.0,The Remains of the Day,7.5
40000000,4.985157,1994-06-03,24332324.0,128.0,Renaissance Man,5.9
22000000,8.685798,1993-04-17,10696210.0,104.0,RoboCop 3,4.2
20000000,17.136672,1993-07-28,35739755.0,104.0,Robin Hood: Men in Tights,6.4
11500000,9.796318,1993-09-13,3275585.0,100.0,Romeo Is Bleeding,5.7
800000,0.941994,1993-10-08,1001437.0,114.0,Ruby in Paradise,5.6
12000000,5.914833,1993-09-17,22750363.0,114.0,Rudy,7.2
22000000,41.725123,1993-11-29,321365567.0,195.0,Schindler's List,8.3
13000000,5.305311,1994-04-13,7820688.0,95.0,Serial Mom,6.4
25000000,7.881107,1994-07-01,48063435.0,108.0,The Shadow,5.4
22000000,2.96586,1993-12-25,0.0,131.0,Shadowlands,6.8
21000000,10.234919,1993-06-24,227799884.0,105.0,Sleepless in Seattle,6.5
40000000,11.23297,1993-05-21,116300000.0,108.0,Sliver,4.9
28000000,96.272374,1982-06-25,33139618.0,117.0,Blade Runner,7.9
20000000,8.051914,1993-07-30,11585483.0,93.0,So I Married an Axe Murderer,6.1
30,13.390917,1993-09-17,0.0,102.0,Striking Distance,5.4
48000000,7.198455,1993-05-28,20915465.0,104.0,Super Mario Bros.,4.0
7400000,3.644641,1994-04-15,7690013.0,96.0,Surviving the Game,6.1
50000000,8.012225,1994-09-23,16478900.0,102.0,Terminal Velocity,5.0
18000000,17.730913,1993-10-09,75634409.0,76.0,The Nightmare Before Christmas,7.6
30000000,6.34785,1993-11-11,53898845.0,105.0,The Three Musketeers,6.2
25000000,11.338194,1993-12-25,56505065.0,130.0,Tombstone,7.4
12500000,17.189328,1993-09-09,12281551.0,120.0,True Romance,7.5
27000000,7.436001,1994-11-23,13670688.0,80.0,The Pagemaster,6.2
200000,2.799575,1994-01-15,0.0,106.0,Spanking the Monkey,5.3
18000000,0.702543,1990-11-09,476684675.0,103.0,Home Alone,7.1
22000000,11.945397,1990-07-12,505000000.0,127.0,Ghost,6.9
28000000,16.357419,1992-11-25,504050219.0,90.0,Aladdin,7.4
100000000,22.661695,1991-07-01,520000000.0,137.0,Terminator 2: Judgment Day,7.7
22000000,11.654349,1990-11-09,424208848.0,181.0,Dances with Wolves,7.6
35000000,19.10673,1989-06-23,411348924.0,126.0,Batman,7.0
19000000,4.307222,1991-02-01,272742922.0,119.0,The Silence of the Lambs,8.1
1488423,16.263878,1937-12-20,184925486.0,83.0,Snow White and the Seven Dwarfs,6.9
25000000,23.433511,1991-11-13,377350553.0,84.0,Beauty and the Beast,7.5
2600000,14.202284,1940-02-23,84300000.0,88.0,Pinocchio,6.9
14000000,13.348451,1990-03-23,463000000.0,119.0,Pretty Woman,7.0
6244087,11.722424,1969-06-17,638641.0,145.0,The Wild Bunch,7.7
7000000,12.61469,1996-04-05,60611975.0,98.0,Fargo,7.7
9300000,7.640073,1981-08-07,0.0,90.0,Heavy Metal,6.3
4000000,5.263187,1996-03-08,16675000.0,86.0,Hellraiser: Bloodline,4.9
8000000,8.174116,1996-05-03,0.0,97.0,The Pallbearer,4.6
500000,0.618066,1996-04-12,0.0,91.0,Loaded,4.0
4000000,9.834047,1970-12-23,55675257.0,78.0,The Aristocats,7.1
30000000,10.326213,1996-04-03,102616183.0,129.0,Primal Fear,7.4
33500000,2.583686,1995-12-14,0.0,92.0,Theodore Rex,3.6
12000000,4.405169,1996-03-22,4939939.0,108.0,Girl 6,5.7
46000000,11.595316,1996-07-04,100860818.0,117.0,Courage Under Fire,6.2
80000000,15.793477,1996-05-22,457696359.0,110.0,Mission: Impossible,6.7
57000000,23.63659,1996-05-31,115267375.0,103.0,DragonHeart,6.4
38000000,13.217623,1996-04-12,28921264.0,79.0,James and the Giant Peach,6.2
13000000,1.296862,1996-04-03,9789900.0,91.0,Faithful,4.8
14000000,14.587894,1995-04-11,0.0,170.0,Underground,7.5
80000000,11.054251,1996-11-15,250200000.0,88.0,Space Jam,6.5
9000000,14.304205,1968-10-10,2500000.0,98.0,Barbarella,5.7
220000,4.658149,1965-05-05,0.0,100.0,Alphaville,6.8
25000000,9.1861,1996-04-19,10070000.0,105.0,Mrs. Winterbourne,5.5
275000,7.918418,1968-11-24,0.0,130.0,Faces,7.1
30000000,7.941972,1996-04-19,57400547.0,95.0,The Quest,5.3
31000000,10.813579,1988-11-18,74151346.0,74.0,Oliver & Company,6.5
25530000,4.557006,1996-05-17,20080020.0,95.0,Flipper,5.3
9000000,6.505272,1995-12-23,0.0,121.0,Dead Man,7.2
35000000,1.690768,1995-09-20,15000000.0,135.0,The Horseman on the Roof,6.7
45000000,8.768806,1996-07-19,0.0,117.0,Multiplicity,5.5
15000000,12.860385,1996-05-03,24769466.0,101.0,The Craft,6.3
25000000,9.264679,1996-05-17,0.0,132.0,Heaven's Prisoners,5.0
4800000,0.343579,1996-05-10,3014000.0,99.0,Original Gangstas,5.5
75000000,13.249824,1996-06-06,335062621.0,136.0,The Rock,6.9
4000000,6.247819,1994-03-25,0.0,105.0,Cemetery Man,7.0
92000000,8.739144,1996-05-10,494471524.0,113.0,Twister,6.1
18000000,8.202057,1996-05-24,0.0,81.0,Spy Hard,4.9
25000000,6.497591,1996-05-31,14048372.0,115.0,The Arrival,6.1
1800000,9.80398,1964-01-29,9440272.0,95.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0
45000000,8.079541,1996-06-06,17300889.0,100.0,The Phantom,4.7
50000000,11.341502,1996-06-28,113309743.0,115.0,Striptease,4.4
45000000,6.287245,1996-08-09,58620973.0,113.0,Jack,5.9
50,0.837911,1995-01-01,0.0,90.0,Pharaoh's  Army,6.3
4000000,19.348466,1996-02-23,16491080.0,93.0,Trainspotting,7.8
1000000,2.700061,1997-05-30,0.0,113.0,Til There Was You,3.9
75000000,17.634197,1996-06-25,816969268.0,145.0,Independence Day,6.7
55000000,12.202063,1996-08-15,18626419.0,116.0,The Fan,5.7
100000000,13.553999,1996-06-21,100138851.0,91.0,The Hunchback of Notre Dame,6.8
47000000,7.586577,1996-06-10,102825796.0,96.0,The Cable Guy,5.7
27000000,11.633347,1996-07-04,25023434.0,113.0,Kingpin,6.7
100000000,6.919314,1996-06-21,242295562.0,115.0,Eraser,5.6
54000000,9.651581,1996-06-26,128769345.0,95.0,The Nutty Professor,5.4
80000000,11.995799,1996-12-06,159212469.0,115.0,Daylight,5.8
30000000,12.09096,1996-07-18,29359216.0,110.0,The Frighteners,6.7
5000000,9.069963,1996-06-21,13269963.0,135.0,Lone Star,6.9
12000000,4.086563,1996-07-10,0.0,100.0,Harriet the Spy,5.7
32000000,5.575992,1996-07-05,152036382.0,123.0,Phenomenon,6.2
3500000,10.827266,1996-08-26,9482579.0,96.0,She's the One,5.7
40000000,13.309013,1996-07-24,152266007.0,149.0,A Time to Kill,7.0
23000000,2.318141,1996-08-14,0.0,109.0,Alaska,5.2
25000000,3.906949,1996-07-19,17193231.0,98.0,Fled,5.2
20000000,8.962892,1996-07-17,0.0,93.0,Kazaam,3.6
30000000,3.521921,1996-10-31,0.0,93.0,Larger Than Life,5.4
13000000,9.490858,1996-07-26,4619014.0,78.0,Joe's Apartment,5.0
26000000,10.177303,1996-09-20,116400000.0,102.0,The First Wives Club,6.5
80000000,8.772188,1996-11-08,309492681.0,117.0,Ransom,6.4
50000000,15.874491,1996-08-02,60209334.0,107.0,Chain Reaction,5.3
36000000,10.034915,1996-08-02,33459416.0,98.0,Matilda,6.9
6000000,6.593011,1996-08-02,22231658.0,121.0,Emma,6.7
13000000,6.554679,1996-08-29,17917287.0,84.0,The Crow: City of Angels,5.2
15000000,3.450402,1996-08-16,5600000.0,87.0,Bordello of Blood,5.0
6000000,1.19589,1996-08-23,12643776.0,117.0,The Spitfire Grill,6.8
50000000,12.229381,1996-08-09,42277365.0,97.0,Escape from L.A.,5.6
2962051,4.797674,1996-08-09,3011195.0,108.0,Basquiat,6.6
45000000,6.24966,1996-08-16,53854588.0,135.0,Tin Cup,5.9
200000,0.124273,1991-06-02,300000.0,109.0,Dingo,6.0
6000000,41.109264,1972-03-14,245066411.0,175.0,The Godfather,8.5
900000,6.751864,1992-07-04,20483423.0,95.0,Police Story 3: Supercop,6.7
500000,1.143656,1996-01-22,431326.0,88.0,Manny & Lo,6.3
1850000,0.90913,1996-04-05,0.0,108.0,Small Faces,6.4
4500000,12.449574,1996-09-13,7011317.0,108.0,Bound,6.9
17000000,3.714049,1996-08-23,0.0,89.0,Carpool,4.9
18000000,5.130136,1996-08-16,0.0,116.0,Kansas City,6.1
53000000,2.289647,1997-05-30,0.0,94.0,Gone Fishin',4.7
60000000,7.699967,1997-01-10,33956608.0,110.0,The Relic,5.8
40000000,12.725343,1996-08-23,49627779.0,96.0,The Island of Dr. Moreau,4.6
8000000,9.028947,1996-08-30,0.0,94.0,The Trigger Effect,6.6
32000000,2.523605,1996-09-06,0.0,110.0,Bogus,5.4
25000000,7.859132,1996-09-06,22611954.0,84.0,Bulletproof,5.4
5000000,8.768288,1995-09-29,15116634.0,88.0,Halloween: The Curse of Michael Myers,5.0
3000000,14.373861,1943-07-12,0.0,170.0,For Whom the Bell Tolls,6.1
2540800,11.064858,1952-04-10,7200000.0,103.0,Singin' in the Rain,7.9
2723903,5.565203,1951-08-08,4500000.0,113.0,An American in Paris,6.9
2500000,10.879289,1961-10-05,9500000.0,110.0,Breakfast at Tiffany's,7.6
2479000,18.20822,1958-05-09,28000000.0,128.0,Vertigo,8.0
1000000,17.911314,1954-08-01,36764313.0,112.0,Rear Window,8.2
325000,6.465257,1934-02-22,4500000.0,105.0,It Happened One Night,7.7
2068000,14.545058,1944-05-04,0.0,114.0,Gaslight,7.2
520000,2.863935,1934-10-12,0.0,107.0,The Gay Divorcee,7.2
4000000,12.410427,1959-07-07,13275000.0,136.0,North by Northwest,7.8
3000000,11.994281,1960-06-15,25000000.0,125.0,The Apartment,8.1
